Customers (D),Visits,Show,Spend,Customers (S),Media Week
2,13,A Sandwich & Some Lovin,$550 ,3,11/12/18
0,11,Alison Rosen is Your New Best Friend,"$1,059 ",3,11/12/18
11,88,Bertcasts Podcast,"$3,530 ",13,11/12/18
0,1,Don't Keep Your Day Job,$0 ,0,11/12/18
0,0,Hollywood Unlocked UNCENSORED,$0 ,0,11/12/18
0,2,Lady to Lady,$400 ,2,11/12/18
0,0,Other,$0 ,10,11/12/18
0,0,Story Worthy,$0 ,0,11/12/18
0,0,Stuff You Should Know,$0 ,4,11/12/18
0,0,The Big O and Dukes Podcast,$0 ,1,11/12/18
1,8,The Daily Dish,"$1,200 ",5,11/12/18
0,15,The Hagmann Report,$475 ,2,11/12/18
1,14,The Happy Never After Podcast,$0 ,1,11/12/18
2,25,The Mike O'Meara Show,$550 ,2,11/12/18
0,0,The Tai Lopez Show,$0 ,0,11/12/18
0,0,Wine and Crime,$0 ,1,11/12/18
0,0,A Sandwich & Some Lovin,$0 ,3,11/19/18
0,5,Alison Rosen is Your New Best Friend,$0 ,0,11/19/18
0,17,Bertcasts Podcast,$0 ,2,11/19/18
0,2,Don't Keep Your Day Job,"$1,471 ",0,11/19/18
0,4,Hollywood Unlocked UNCENSORED,"$1,400 ",0,11/19/18
0,0,Lady to Lady,$0 ,1,11/19/18
0,0,Other,$0 ,13,11/19/18
0,0,Story Worthy,$250 ,0,11/19/18
22,86,Stuff You Should Know,"$7,425 ",32,11/19/18
0,0,The Big O and Dukes Podcast,$0 ,0,11/19/18
1,5,The Daily Dish,$0 ,4,11/19/18
0,1,The Hagmann Report,$0 ,0,11/19/18
0,0,The Happy Never After Podcast,$290 ,3,11/19/18
2,38,The Mike O'Meara Show,$0 ,2,11/19/18
0,0,The Tai Lopez Show,$0 ,0,11/19/18
12,22,Wine and Crime,"$1,324 ",19,11/19/18
0,3,A Sandwich & Some Lovin,$0 ,1,11/26/18
0,3,Alison Rosen is Your New Best Friend,$0 ,1,11/26/18
0,15,Bertcasts Podcast,$0 ,2,11/26/18
0,5,Don't Keep Your Day Job,$0 ,1,11/26/18
0,5,Hollywood Unlocked UNCENSORED,$0 ,2,11/26/18
0,0,Lady to Lady,$0 ,1,11/26/18
0,0,Other,$0 ,6,11/26/18
0,0,Story Worthy,$0 ,0,11/26/18
3,12,Stuff You Should Know,$0 ,10,11/26/18
1,2,The Big O and Dukes Podcast,$400 ,1,11/26/18
1,6,The Daily Dish,$0 ,1,11/26/18
0,4,The Hagmann Report,$0 ,0,11/26/18
1,2,The Happy Never After Podcast,$0 ,2,11/26/18
1,31,The Mike O'Meara Show,$0 ,2,11/26/18
0,0,The Tai Lopez Show,$0 ,1,11/26/18
12,35,Wine and Crime,$0 ,17,11/26/18
4,22,A Sandwich & Some Lovin,$550 ,4,12/3/18
4,17,Alison Rosen is Your New Best Friend,"$1,059 ",4,12/3/18
4,48,Bertcasts Podcast,"$3,530 ",5,12/3/18
0,0,Don't Keep Your Day Job,$0 ,0,12/3/18
2,2,Hollywood Unlocked UNCENSORED,$0 ,1,12/3/18
0,4,Lady to Lady,$400 ,1,12/3/18
0,0,Other,$0 ,4,12/3/18
0,0,Story Worthy,$250 ,0,12/3/18
0,0,Stuff You Should Know,$0 ,4,12/3/18
0,4,The Big O and Dukes Podcast,$0 ,1,12/3/18
0,1,The Daily Dish,"$1,200 ",0,12/3/18
1,10,The Hagmann Report,$475 ,2,12/3/18
0,5,The Happy Never After Podcast,$0 ,1,12/3/18
1,41,The Mike O'Meara Show,$550 ,1,12/3/18
0,0,The Tai Lopez Show,$750 ,0,12/3/18
2,8,Wine and Crime,$0 ,6,12/3/18
1,3,A Sandwich & Some Lovin,$0 ,1,12/10/18
0,1,Alison Rosen is Your New Best Friend,$0 ,0,12/10/18
2,27,Bertcasts Podcast,$0 ,6,12/10/18
0,0,Don't Keep Your Day Job,$0 ,0,12/10/18
0,0,Hollywood Unlocked UNCENSORED,$0 ,0,12/10/18
0,0,Lady to Lady,$0 ,0,12/10/18
0,0,Other,$0 ,10,12/10/18
0,0,Story Worthy,$0 ,1,12/10/18
21,140,Stuff You Should Know,"$7,425 ",41,12/10/18
3,11,The Big O and Dukes Podcast,$400 ,3,12/10/18
1,2,The Daily Dish,$0 ,1,12/10/18
0,6,The Hagmann Report,$0 ,0,12/10/18
0,0,The Happy Never After Podcast,$290 ,1,12/10/18
2,33,The Mike O'Meara Show,$0 ,2,12/10/18
0,0,The Tai Lopez Show,$0 ,0,12/10/18
0,0,Wine and Crime,$0 ,0,12/10/18
0,5,A Sandwich & Some Lovin,$0 ,0,12/17/18
0,0,Alison Rosen is Your New Best Friend,$0 ,0,12/17/18
2,8,Bertcasts Podcast,$0 ,2,12/17/18
1,5,Don't Keep Your Day Job,"$1,471 ",3,12/17/18
1,29,Hollywood Unlocked UNCENSORED,"$1,400 ",1,12/17/18
0,2,Lady to Lady,$0 ,0,12/17/18
0,0,Other,$0 ,8,12/17/18
0,0,Story Worthy,$0 ,1,12/17/18
3,20,Stuff You Should Know,$0 ,7,12/17/18
0,3,The Big O and Dukes Podcast,$0 ,2,12/17/18
0,0,The Daily Dish,$0 ,0,12/17/18
0,1,The Hagmann Report,$0 ,0,12/17/18
0,2,The Happy Never After Podcast,$0 ,0,12/17/18
0,8,The Mike O'Meara Show,$0 ,0,12/17/18
0,0,The Tai Lopez Show,$0 ,0,12/17/18
8,23,Wine and Crime,"$1,324 ",11,12/17/18
0,5,A Sandwich & Some Lovin,$0 ,2,12/24/18
0,3,AJ Benza: Fame is a Bitch,$0 ,0,12/24/18
0,1,Alison Rosen is Your New Best Friend,$0 ,0,12/24/18
0,2,An Acquired Taste,$0 ,0,12/24/18
0,2,Babes & Babies,$0 ,1,12/24/18
0,5,Bertcasts Podcast,$0 ,2,12/24/18
0,2,Coffee Convos,$0 ,0,12/24/18
0,4,Don't Keep Your Day Job,$0 ,0,12/24/18
0,2,Forever35,$0 ,0,12/24/18
0,2,Happier in Hollywood,$0 ,0,12/24/18
0,6,Hollywood Unlocked UNCENSORED,$0 ,0,12/24/18
0,2,KFC Radio,$0 ,0,12/24/18
0,3,Lady to Lady,$0 ,2,12/24/18
0,2,LadyGang,$0 ,1,12/24/18
3,13,"Mueller, She Wrote",$0 ,6,12/24/18
0,1,Other,$0 ,22,12/24/18
0,2,Pop Talk with Ross Mathews,$0 ,0,12/24/18
0,1,Rob Has A Podcast,$0 ,0,12/24/18
0,2,Scrubbing In,$0 ,0,12/24/18
0,1,Story Worthy,$0 ,0,12/24/18
2,16,Stuff You Should Know,$0 ,17,12/24/18
0,1,The Big O and Dukes Podcast,$0 ,0,12/24/18
0,2,The Brooklyn Boys,$0 ,0,12/24/18
0,1,The Daily Dish,$0 ,3,12/24/18
0,2,The Hagmann Report,$0 ,1,12/24/18
1,2,The Happy Never After Podcast,$0 ,1,12/24/18
0,1,The Jtrain Podcast,$0 ,0,12/24/18
0,1,The Mike O'Meara Show,$0 ,0,12/24/18
0,2,The Morning Toast,$0 ,0,12/24/18
0,2,The Skinny Confidential,$0 ,0,12/24/18
0,2,The Struggle Well Project,$0 ,0,12/24/18
0,1,The Tai Lopez Show,$0 ,0,12/24/18
0,2,The Vanished,$0 ,5,12/24/18
0,1,Whine Down with Jana Kramer,$0 ,1,12/24/18
1,30,Wine and Crime,$0 ,13,12/24/18
0,2,Yogamazing,$0 ,2,12/24/18
1,2,A Sandwich & Some Lovin,$0 ,3,12/31/18
0,1,AJ Benza: Fame is a Bitch,$225 ,0,12/31/18
0,0,Alison Rosen is Your New Best Friend,$0 ,0,12/31/18
11,65,An Acquired Taste,$775 ,22,12/31/18
0,0,Babes & Babies,$0 ,1,12/31/18
3,67,Bertcasts Podcast,"$3,530 ",13,12/31/18
0,4,Don't Keep Your Day Job,$0 ,2,12/31/18
0,0,Forever35,$0 ,1,12/31/18
7,23,Happier in Hollywood,$750 ,18,12/31/18
0,3,Hollywood Unlocked UNCENSORED,$0 ,1,12/31/18
13,103,KFC Radio,"$3,450 ",26,12/31/18
0,1,Lady to Lady,$0 ,3,12/31/18
0,0,LadyGang,$0 ,1,12/31/18
29,132,"Mueller, She Wrote","$2,206 ",60,12/31/18
0,0,Other,$0 ,56,12/31/18
0,0,Rob Has A Podcast,$0 ,1,12/31/18
0,0,Scrubbing In,$0 ,2,12/31/18
0,0,Story Worthy,$0 ,0,12/31/18
2,5,Stuff You Should Know,$0 ,24,12/31/18
0,58,The Big O and Dukes Podcast,$0 ,2,12/31/18
0,2,The Brooklyn Boys,$0 ,0,12/31/18
0,0,The Daily Dish,$0 ,3,12/31/18
1,10,The Hagmann Report,$230 ,2,12/31/18
0,1,The Happy Never After Podcast,$0 ,1,12/31/18
3,18,The Jtrain Podcast,$300 ,4,12/31/18
0,2,The Mike O'Meara Show,$0 ,4,12/31/18
0,0,The Morning Toast,$0 ,1,12/31/18
0,0,The Skinny Confidential,$0 ,2,12/31/18
0,1,The Struggle Well Project,$0 ,0,12/31/18
0,0,The Tai Lopez Show,$0 ,0,12/31/18
0,0,The Vanished,$0 ,3,12/31/18
0,0,Whine Down with Jana Kramer,$0 ,0,12/31/18
2,20,Wine and Crime,$0 ,22,12/31/18
0,0,Yogamazing,$294 ,1,12/31/18
1,9,A Sandwich & Some Lovin,$700 ,2,1/7/19
1,13,AJ Benza: Fame is a Bitch,$225 ,1,1/7/19
0,0,Alison Rosen is Your New Best Friend,$0 ,1,1/7/19
2,29,An Acquired Taste,$0 ,11,1/7/19
1,7,Babes & Babies,"$1,625 ",2,1/7/19
4,59,Bertcasts Podcast,"$3,530 ",10,1/7/19
17,94,Coffee Convos,"$3,625 ",33,1/7/19
0,1,Don't Keep Your Day Job,$0 ,2,1/7/19
